Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Ámbito territorial;Disponibilidad de taxímetro;periodo;Total
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2003;10.218
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2002;10.132
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2001;10.066
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;2000;10.139
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;1999;10.045
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;1998;10.075
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;1997;10.153
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;1996;10.260
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;1995;10.334
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Total;1994;10.385
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2019;8.090
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2018;8.174
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2017;8.125
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2016;8.003
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2015;8.057
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2014;7.699
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2013;7.167
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2012;7.167
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2011;6.858
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2010;6.795
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2009;6.701
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2008;6.666
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2007;6.620
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2006;6.546
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2005;6.477
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2004;6.539
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2003;6.493
TOTAL ESPAÑA;ANDALUCÍA;;Provincia;Con taxímetro;2002;6.437
