Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Ámbito territorial;Disponibilidad de taxímetro;periodo;Total
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Provincia;Sin taxímetro;2001;94
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Provincia;Sin taxímetro;2000;93
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Provincia;Sin taxímetro;1999;93
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Provincia;Sin taxímetro;1998;98
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Provincia;Sin taxímetro;1997;100
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Provincia;Sin taxímetro;1996;92
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Provincia;Sin taxímetro;1995;97
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Provincia;Sin taxímetro;1994;111
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2019;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2018;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2017;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2016;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2015;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2014;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2013;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2012;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2011;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2010;54
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2009;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2008;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2007;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2006;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2005;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2004;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2003;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2002;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2001;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;2000;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;1999;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;1998;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;1997;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;1996;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;1995;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Total;1994;57
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2019;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2018;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2017;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2016;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2015;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2014;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2013;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2012;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2011;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2010;54
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2009;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2008;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2007;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2006;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2005;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2004;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2003;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2002;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2001;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;2000;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;1999;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;1998;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;1997;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;1996;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;1995;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Con taxímetro;1994;56
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2019;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2018;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2017;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2016;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2015;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2014;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2013;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2012;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2011;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2010;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2009;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2008;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2007;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2006;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2005;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2004;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2003;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2002;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2001;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;2000;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;1999;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;1998;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;1997;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;1996;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;1995;0
TOTAL ESPAÑA;CASTILLA Y LEÓN;Zamora;Capital de Provincia;Sin taxímetro;1994;1
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2019;1.233
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2018;1.231
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2017;1.241
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2016;1.239
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2015;1.255
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2014;1.247
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2013;1.241
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2012;1.250
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2011;1.249
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2010;1.217
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2009;1.197
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2008;1.168
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2007;1.140
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2006;1.165
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2005;1.171
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2004;1.132
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2003;1.158
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2002;1.166
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2001;1.166
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;2000;1.188
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;1999;1.214
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;1998;1.276
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;1997;1.286
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;1996;1.321
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;1995;1.340
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Total;1994;1.342
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2019;415
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2018;425
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2017;423
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2016;415
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2015;396
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2014;385
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2013;399
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2012;393
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2011;388
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2010;379
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2009;392
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2008;369
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2007;351
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2006;330
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2005;314
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2004;279
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2003;354
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2002;336
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2001;313
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;2000;298
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;1999;280
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;1998;296
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;1997;291
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;1996;275
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;1995;273
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Con taxímetro;1994;261
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2019;818
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2018;806
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2017;818
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2016;824
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2015;859
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2014;862
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2013;842
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2012;857
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2011;861
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2010;838
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2009;805
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2008;799
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2007;789
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2006;835
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2005;857
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2004;853
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2003;804
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2002;830
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2001;853
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;2000;890
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;1999;934
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;1998;980
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;1997;995
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;1996;1.046
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;1995;1.067
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Provincia;Sin taxímetro;1994;1.081
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2019;381
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2018;383
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2017;375
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2016;371
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2015;357
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2014;349
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2013;352
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2012;353
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2011;357
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2010;347
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2009;356
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2008;328
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2007;323
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2006;324
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2005;271
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2004;269
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2003;308
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2002;291
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2001;291
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;2000;291
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;1999;291
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;1998;291
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;1997;302
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;1996;294
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;1995;302
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Total;1994;291
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2019;381
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2018;383
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2017;375
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2016;371
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2015;357
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2014;349
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2013;352
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2012;353
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2011;357
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2010;347
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2009;356
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2008;328
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2007;323
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2006;324
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2005;271
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2004;269
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2003;308
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2002;291
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2001;291
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;2000;291
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;1999;261
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;1998;261
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;1997;272
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;1996;264
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;1995;272
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Con taxímetro;1994;261
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2019;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2018;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2017;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2016;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2015;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2014;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2013;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2012;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2011;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2010;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2009;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2008;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2007;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2006;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2005;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2004;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2003;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2002;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2001;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;2000;0
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;1999;30
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;1998;30
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;1997;30
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;1996;30
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;1995;30
TOTAL ESPAÑA;CASTILLA-LA MANCHA;;Capital de Provincia;Sin taxímetro;1994;30
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2019;240
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2018;243
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2017;250
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2016;247
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2015;254
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2014;257
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2013;261
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2012;262
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2011;268
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2010;268
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2009;262
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2008;262
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2007;258
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2006;267
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2005;267
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2004;271
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2003;280
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2002;278
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2001;266
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;2000;281
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;1999;281
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;1998;299
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;1997;296
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;1996;304
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;1995;312
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Total;1994;321
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Con taxímetro;2019;108
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Con taxímetro;2018;107
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Con taxímetro;2017;107
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Con taxímetro;2016;107
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Con taxímetro;2015;107
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Con taxímetro;2014;107
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Con taxímetro;2013;108
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Con taxímetro;2012;108
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Con taxímetro;2011;108
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Con taxímetro;2010;107
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Con taxímetro;2009;107
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Con taxímetro;2008;108
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Con taxímetro;2007;103
TOTAL ESPAÑA;CASTILLA-LA MANCHA;Albacete;Provincia;Con taxímetro;2006;101
