Comunidades y Ciudades Autónomas;Periodo;Total
05 Canarias;1987;6,56
05 Canarias;1986;6,38
05 Canarias;1985;6,61
05 Canarias;1984;6,43
05 Canarias;1983;6,4
05 Canarias;1982;6,34
05 Canarias;1981;6,35
05 Canarias;1980;6,34
05 Canarias;1979;6,61
05 Canarias;1978;6,76
05 Canarias;1977;6,34
05 Canarias;1976;6,95
05 Canarias;1975;6,43
06 Cantabria;2021;10,37
06 Cantabria;2020;11,11
06 Cantabria;2019;10,33
06 Cantabria;2018;10,49
06 Cantabria;2017;10,26
06 Cantabria;2016;10,21
06 Cantabria;2015;10,35
06 Cantabria;2014;10,06
06 Cantabria;2013;9,52
06 Cantabria;2012;9,83
06 Cantabria;2011;9,48
06 Cantabria;2010;9,27
06 Cantabria;2009;9,4
06 Cantabria;2008;9,5
06 Cantabria;2007;9,81
06 Cantabria;2006;9,66
06 Cantabria;2005;9,62
06 Cantabria;2004;9,46
06 Cantabria;2003;9,91
06 Cantabria;2002;9,8
06 Cantabria;2001;9,5
06 Cantabria;2000;10
06 Cantabria;1999;10,1
06 Cantabria;1998;9,7
06 Cantabria;1997;9,56
06 Cantabria;1996;9,76
06 Cantabria;1995;9,47
06 Cantabria;1994;9,16
06 Cantabria;1993;9,3
06 Cantabria;1992;9,11
06 Cantabria;1991;8,98
06 Cantabria;1990;8,96
06 Cantabria;1989;8,84
06 Cantabria;1988;8,62
06 Cantabria;1987;8,14
06 Cantabria;1986;8,39
06 Cantabria;1985;8,53
06 Cantabria;1984;8,24
06 Cantabria;1983;8,35
06 Cantabria;1982;7,83
06 Cantabria;1981;8,07
06 Cantabria;1980;8,14
06 Cantabria;1979;8,17
06 Cantabria;1978;7,7
06 Cantabria;1977;8,34
06 Cantabria;1976;8,42
06 Cantabria;1975;8,74
07 Castilla y León;2021;12,31
07 Castilla y León;2020;15,14
07 Castilla y León;2019;11,95
07 Castilla y León;2018;12,15
07 Castilla y León;2017;11,96
07 Castilla y León;2016;11,63
07 Castilla y León;2015;11,89
07 Castilla y León;2014;11,18
07 Castilla y León;2013;10,98
07 Castilla y León;2012;11,18
07 Castilla y León;2011;10,65
07 Castilla y León;2010;10,65
07 Castilla y León;2009;10,66
07 Castilla y León;2008;10,76
07 Castilla y León;2007;10,82
07 Castilla y León;2006;10,45
07 Castilla y León;2005;11,04
07 Castilla y León;2004;10,64
07 Castilla y León;2003;10,94
07 Castilla y León;2002;10,72
07 Castilla y León;2001;10,31
07 Castilla y León;2000;10,4
07 Castilla y León;1999;10,65
07 Castilla y León;1998;10,44
07 Castilla y León;1997;9,94
07 Castilla y León;1996;10,02
07 Castilla y León;1995;9,87
07 Castilla y León;1994;9,59
07 Castilla y León;1993;9,69
07 Castilla y León;1992;9,54
07 Castilla y León;1991;9,63
07 Castilla y León;1990;9,44
07 Castilla y León;1989;9,03
07 Castilla y León;1988;9,02
07 Castilla y León;1987;8,7
07 Castilla y León;1986;8,72
07 Castilla y León;1985;8,85
07 Castilla y León;1984;8,41
07 Castilla y León;1983;8,5
07 Castilla y León;1982;7,95
07 Castilla y León;1981;8,34
07 Castilla y León;1980;8,17
07 Castilla y León;1979;8,35
07 Castilla y León;1978;8,57
07 Castilla y León;1977;8,76
07 Castilla y León;1976;8,82
07 Castilla y León;1975;8,76
08 Castilla - La Mancha;2021;9,97
08 Castilla - La Mancha;2020;12,65
08 Castilla - La Mancha;2019;9,55
08 Castilla - La Mancha;2018;9,64
08 Castilla - La Mancha;2017;9,94
08 Castilla - La Mancha;2016;9,37
08 Castilla - La Mancha;2015;9,7
08 Castilla - La Mancha;2014;8,89
08 Castilla - La Mancha;2013;8,75
08 Castilla - La Mancha;2012;9,07
08 Castilla - La Mancha;2011;8,58
08 Castilla - La Mancha;2010;8,35
08 Castilla - La Mancha;2009;8,56
08 Castilla - La Mancha;2008;8,86
08 Castilla - La Mancha;2007;9,06
08 Castilla - La Mancha;2006;8,9
08 Castilla - La Mancha;2005;9,51
08 Castilla - La Mancha;2004;9,43
08 Castilla - La Mancha;2003;9,83
08 Castilla - La Mancha;2002;9,89
08 Castilla - La Mancha;2001;9,82
08 Castilla - La Mancha;2000;9,59
08 Castilla - La Mancha;1999;10,03
08 Castilla - La Mancha;1998;9,91
